1	Kosovo	             73.0
2	Namibia	             58.9
3	Bosnia and Herzegovina	             57.5
4	Macedonia	             55.3
5	South Africa	             49.8
6	Spain	             46.4
7	Serbia	             46.1
8	Guyana	             46.1
9	Armenia	             45.5
10	Greece	             44.4
11	Saint Lucia	             40.8
12	West Bank	             38.8
13	Gaza Strip	             38.8
14	Montenegro	             37.0
15	Croatia	             36.1
16	Georgia	             35.6
17	Lesotho	             34.4
18	French Polynesia	             33.2
19	Slovakia	             33.2
20	Lithuania	             32.9
21	Tunisia	             30.7
22	Dominican Republic	             30.3
23	Portugal	             30.1
24	Jamaica	             30.1
25	Puerto Rico	             29.9
26	Jordan	             29.9
27	Ireland	             29.4
28	Italy	             29.1
29	Latvia	             29.1
30	Poland	             28.9
31	Bahrain	             28.3
32	Saudi Arabia	             28.2
33	Albania	             27.2
34	Bulgaria	             26.6
35	Barbados	             26.2
36	Hungary	             26.1
37	Dominica	             26.0
38	Ethiopia	             24.9
39	Egypt	             24.8
40	Romania	             23.7
41	Zambia	             23.4
42	Aruba	             23.2
43	Colombia	             23.0
44	Iran	             23.0
45	Sweden	             22.9
46	Estonia	             22.4
47	Cyprus	             22.3
48	Indonesia	             22.2
49	Maldives	             22.2
50	France	             22.1
51	Lebanon	             22.1
52	Mauritius	             21.7
53	Suriname	             21.5
54	Algeria	             21.5
55	Czech Republic	             21.3
56	Seychelles	             20.3
57	Mongolia	             20.0
58	United Kingdom	             20.0
59	Antigua and Barbuda	             19.9
60	Belize	             19.5
61	Sri Lanka	             19.4
62	Syria	             19.2
63	Bahamas, The	             18.9
64	Finland	             18.9
65	Belgium	             18.7
66	Argentina	             18.7
67	Ukraine	             18.6
68	Turkey	             18.4
69	Morocco	             17.9
70	Brazil	             17.8
71	Paraguay	             17.8
72	Venezuela	             17.5
73	Chile	             17.5
74	Philippines	             17.4
75	Uruguay	             17.4
76	United States	             17.3
77	New Zealand	             17.3
78	Luxembourg	             16.8
79	Costa Rica	             16.6
80	Ghana	             16.6
81	Peru	             16.2
82	Slovenia	             15.7
83	Russia	             15.5
84	Moldova	             14.9
85	Senegal	             14.8
86	Azerbaijan	             14.7
87	Panama	             14.6
88	Iceland	             14.6
89	Kyrgyzstan	             14.6
90	Denmark	             14.2
91	Ecuador	             14.1
92	Canada	             14.1
93	Malta	             13.9
94	Botswana	             13.6
95	Cayman Islands	             13.5
96	Samoa	             12.2
97	United Arab Emirates	             12.1
98	Tonga	             11.9
99	Israel	             11.6
100	El Salvador	             11.4
101	Australia	             11.3
102	Kuwait	             11.3
103	Malaysia	             11.3
104	Bermuda	             10.8
105	Trinidad and Tobago	             10.5
106	India	             10.2
107	Mexico	              9.8
108	Korea, South	              9.6
109	Hong Kong	              9.4
110	Bhutan	              9.4
111	Faroe Islands	              9.4
112	Bangladesh	              9.3
113	Bolivia	              9.2
114	Tanzania	              8.8
115	Nicaragua	              8.6
116	Norway	              8.6
117	Germany	              8.5
118	Austria	              8.3
119	Japan	              8.0
120	Switzerland	              7.7
121	Pakistan	              7.7
122	Netherlands	              7.7
123	Zimbabwe	              7.6
124	Isle of Man	              7.2
125	Guatemala	              7.1
126	Honduras	              7.0
127	Monaco	              6.9
128	Singapore	              6.7
129	Northern Mariana Islands	              5.9
130	Macau	              5.8
131	Uganda	              5.4
132	Liberia	              5.1
133	Kazakhstan	              4.6
134	Vietnam	              4.6
135	Burkina Faso	              3.8
136	Cambodia	              3.4
137	Niger	              3.2
138	Cuba	              3.1
139	Thailand	              2.7
140	Madagascar	              2.3
141	Qatar	              1.3
142	Benin	              0.8
